Wavelength [nm]	Intensity [A.U.]
515.5451992653088	-0.0
515.7025452418225	-0.0
515.8598995843836	-0.0
516.0172622905235	0.0
516.1746333577739	0.0
516.3320127836661	0.0
516.4894005657314	0.0
516.6467967015014	0.0
516.8042011885076	0.0
516.9616140242813	0.0
517.1190352063538	0.0
517.2764647322568	0.0
517.4339025995216	0.0
517.5913488056797	0.0
517.7488033482623	0.0
517.9062662248011	0.0
518.0637374328276	0.0
518.2212169698729	0.0
518.3787048334686	0.0
518.5362010211463	0.0
518.6937055304371	-0.0
518.8512183588728	-0.0
519.0087395039844	-0.0
519.1662689633038	0.0
519.323806734362	0.0
519.4813528146908	0.0
519.6389072018214	0.0
519.7964698932853	0.0
519.9540408866139	0.0
520.1116201793388	0.0
520.2692077689912	0.0
520.4268036531026	0.0
520.5844078292046	0.0
520.7420202948284	0.0
520.8996410475055	0.0
521.0572700847674	0.0
521.2149074041455	0.0
521.3725530031712	0.0
521.530206879376	0.0
521.6878690302913	0.0
521.8455394534484	0.0
522.003218146379	-0.0
522.1609051066143	-0.0
522.3186003316858	-0.0
522.4763038191251	0.0
522.6340155664634	0.0
522.7917355712322	-0.0
522.9494638309629	0.0
523.1072003431871	0.0
523.264945105436	0.0
523.4226981152412	0.0
523.5804593701341	0.0
523.7382288676462	0.0
523.8960066053087	0.0
524.0537925806532	0.0
524.2115867912112	0.0
524.3693892345138	0.0
524.5271999080929	0.0
524.6850188094797	-0.0
524.8428459362055	0.0
525.0006812858021	-0.0
525.1585248558006	-0.0
525.3163766437325	-0.0
525.4742366471293	0.0
525.6321048635223	-0.0
525.7899812904432	-0.0
525.9478659254231	-0.0
526.1057587659936	0.0
526.2636598096863	0.0
526.4215690540324	0.0
526.5794864965633	0.0
526.7374121348106	0.0
526.8953459663056	0.0
527.0532879885799	0.0
527.2112381991648	0.0
527.3691965955917	0.0
527.5271631753922	0.0
527.6851379360975	0.0
527.8431208752392	0.0
528.0011119903487	-0.0
528.1591112789574	-0.0
528.3171187385967	-0.0
528.4751343667982	-0.0
528.6331581610932	-0.0
528.7911901190131	0.0
528.9492302380894	0.0
529.1072785158535	-0.0
529.2653349498369	0.0
529.423399537571	0.0
529.5814722765871	0.0
529.7395531644167	0.0
529.8976421985915	0.0
530.0557393766426	0.0
530.2138446961014	0.0
530.3719581544997	0.0
530.5300797493686	0.0
530.6882094782396	0.0
530.8463473386443	0.0
531.0044933281139	-0.0
531.1626474441799	0.0
531.3208096843739	-0.0
531.4789800462271	-0.0
531.637158527271	-0.0
531.7953451250372	0.0
531.953539837057	-0.0
532.1117426608616	0.0
532.2699535939829	-0.0
532.428172633952	0.0
532.5863997783005	0.0
532.7446350245597	0.0
532.9028783702611	0.0
533.0611298129361	0.0
533.2193893501162	0.0
533.3776569793328	0.0
533.5359326981172	0.0
533.6942165040011	0.0
533.8525083945157	0.0
534.0108083671926	0.0
534.1691164195631	-0.0
534.3274325491586	-0.0
534.4857567535108	-0.0
534.6440890301509	-0.0
534.8024293766103	-0.0
534.9607777904206	-0.0
535.119134269113	0.0
535.2774988102193	0.0
535.4358714112706	0.0
535.5942520697984	0.0
535.7526407833342	0.0
535.9110375494095	0.0
536.0694423655555	0.0
536.2278552293038	0.0
536.3862761381858	0.0
536.544705089733	0.0
536.7031420814768	0.0
536.8615871109486	0.0
537.0200401756798	0.0
537.1785012732018	0.0
537.3369704010462	0.0
537.4954475567444	0.0
537.6539327378276	-0.0
537.8124259418274	-0.0
537.9709271662754	-0.0
538.1294364087028	0.0
538.287953666641	-0.0
538.4464789376216	0.0
538.6050122191759	0.0
538.7635535088355	0.0
538.9221028041316	0.0
539.0806601025959	0.0
539.2392254017595	-0.0
539.3977986991541	0.0
539.5563799923111	0.0
539.7149692787619	0.0
539.8735665560379	0.0
540.0321718216705	0.0
540.1907850731913	0.0
540.3494063081315	0.0
540.5080355240227	-0.0
540.6666727183963	0.0
540.8253178887836	-0.0
540.9839710327163	-0.0
541.1426321477256	-0.0
541.301301231343	-0.0
541.4599782811	0.0
