Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
347.26784190000035	80.0	60.0	400-500	1.8439546666666669
347.26784190000035	80.0	60.0	500-600	2.2393199999999993
347.26784190000035	80.0	60.0	600-700	1.0647333333333333
347.26784190000035	80.0	60.0	700-800	0.5405946666666667
355.8515658999677	100.0	60.0	400-500	1.7741413333333333
355.8515658999677	100.0	60.0	500-600	2.1585866666666664
355.8515658999677	100.0	60.0	600-700	1.0248373333333334
355.8515658999677	100.0	60.0	700-800	0.509431
372.127265899966	0.0	80.0	400-500	1.392872
372.127265899966	0.0	80.0	500-600	1.7223333333333333
372.127265899966	0.0	80.0	600-700	0.8182839999999999
372.127265899966	0.0	80.0	700-800	0.4254953333333333
382.5960232000216	20.0	80.0	400-500	1.7374186666666667
382.5960232000216	20.0	80.0	500-600	2.14032
382.5960232000216	20.0	80.0	600-700	1.011388
382.5960232000216	20.0	80.0	700-800	0.4637073333333333
391.3848939000163	40.0	80.0	400-500	1.8353959999999996
391.3848939000163	40.0	80.0	500-600	2.25164
391.3848939000163	40.0	80.0	600-700	1.0637999999999999
391.3848939000163	40.0	80.0	700-800	0.4961333333333333
402.76576219999697	60.0	80.0	400-500	1.8391213333333332
402.76576219999697	60.0	80.0	500-600	2.2290666666666668
402.76576219999697	60.0	80.0	600-700	1.0557439999999998
402.76576219999697	60.0	80.0	700-800	0.5393163333333333
412.32613810000475	80.0	80.0	400-500	1.8980093333333332
412.32613810000475	80.0	80.0	500-600	2.2924666666666664
412.32613810000475	80.0	80.0	600-700	1.0748106666666666
412.32613810000475	80.0	80.0	700-800	0.5245211666666666
422.3305488000042	100.0	80.0	400-500	1.7922266666666664
422.3305488000042	100.0	80.0	500-600	2.1695866666666666
422.3305488000042	100.0	80.0	600-700	1.0238826666666665
422.3305488000042	100.0	80.0	700-800	0.4909609999999999
439.9418433000101	0.0	100.0	400-500	1.3310226666666665
439.9418433000101	0.0	100.0	500-600	1.6153333333333333
439.9418433000101	0.0	100.0	600-700	0.7644346666666667
439.9418433000101	0.0	100.0	700-800	0.44793299999999997
449.2412130999728	20.0	100.0	400-500	1.648596
449.2412130999728	20.0	100.0	500-600	2.011146666666667
449.2412130999728	20.0	100.0	600-700	0.9528133333333333
449.2412130999728	20.0	100.0	700-800	0.4968743333333333
459.50041979999514	40.0	100.0	400-500	1.7876186666666667
459.50041979999514	40.0	100.0	500-600	2.1530666666666667
459.50041979999514	40.0	100.0	600-700	1.0138186666666666
459.50041979999514	40.0	100.0	700-800	0.550729
468.956927799969	60.0	100.0	400-500	1.7926106666666666
468.956927799969	60.0	100.0	500-600	2.154266666666667
468.956927799969	60.0	100.0	600-700	1.0245186666666666
468.956927799969	60.0	100.0	700-800	0.6016526666666665
477.92842690000543	80.0	100.0	400-500	1.803773333333333
477.92842690000543	80.0	100.0	500-600	2.1715066666666667
477.92842690000543	80.0	100.0	600-700	1.0320533333333335
477.92842690000543	80.0	100.0	700-800	0.5859163333333334
487.4665090999915	100.0	100.0	400-500	1.688104
487.4665090999915	100.0	100.0	500-600	2.025986666666667
487.4665090999915	100.0	100.0	600-700	0.9681759999999999
487.4665090999915	100.0	100.0	700-800	0.565977
