Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
887.3811129999813	80.0	70.0	0.0	0.0001791564
891.6246786999982	90.0	70.0	0.0	0.0001752627
894.4943136000074	100.0	70.0	0.0	0.0001711876
897.1687022999977	110.0	70.0	0.0	0.0001656403
900.1229175000335	120.0	70.0	0.0	0.0001577335
903.2695378999924	130.0	70.0	0.0	0.0001452545
911.3805490999948	140.0	70.0	0.0	0.0001303855
934.4504728000029	0.0	80.0	0.0	0.000125143
938.2601623000228	10.0	80.0	0.0	0.0001439745
941.2616968000075	20.0	80.0	0.0	0.0001546572
943.8742739000008	30.0	80.0	0.0	0.0001626565
946.8023157999851	40.0	80.0	0.0	0.0001680719
949.4292825000011	50.0	80.0	0.0	0.0001720779
954.0266936999978	60.0	80.0	0.0	0.0001738624
957.3028167000157	70.0	80.0	0.0	0.0001744935
966.0378994999919	80.0	80.0	0.0	0.0001766328
971.9134569999878	90.0	80.0	0.0	0.0001749473
975.1414187999908	100.0	80.0	0.0	0.000169985
979.0469938000315	110.0	80.0	0.0	0.0001652558
982.1793475000304	120.0	80.0	0.0	0.0001569636
987.0371610000147	130.0	80.0	0.0	0.0001448123
993.9185826000175	140.0	80.0	0.0	0.0001282156
1017.0778018999845	0.0	90.0	0.0	0.0001259982
1020.3710593000287	10.0	90.0	0.0	0.000142788
1022.8898991000024	20.0	90.0	0.0	0.0001553039
1027.2153088999912	30.0	90.0	0.0	0.000161903
1031.2992494000355	40.0	90.0	0.0	0.0001663762
1035.5219149999903	50.0	90.0	0.0	0.000170698
1038.852106700011	60.0	90.0	0.0	0.0001722803
1043.4592601000331	70.0	90.0	0.0	0.0001714615
1057.0923237000243	80.0	90.0	0.0	0.000175324
1059.7201092999894	90.0	90.0	0.0	0.0001745272
1079.6228535000118	100.0	90.0	0.0	0.0001695664
1084.1188543000026	110.0	90.0	0.0	0.0001634649
1087.2995754000149	120.0	90.0	0.0	0.000153166
1090.6051422000164	130.0	90.0	0.0	0.0001411841
1100.4845887999982	140.0	90.0	0.0	0.0001269056
1126.5199005000177	0.0	100.0	0.0	0.0001202624
1131.2918830999988	10.0	100.0	0.0	0.0001357216
1135.0718082000385	20.0	100.0	0.0	0.0001500703
