Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
73.12733430000662	0.0	10.0	900-1100	1.056413409654395
79.8093485999998	10.0	10.0	500-600	0.0
79.8093485999998	10.0	10.0	600-700	0.0
79.8093485999998	10.0	10.0	700-800	0.021096645074401045
79.8093485999998	10.0	10.0	800-900	0.12078503167609315
79.8093485999998	10.0	10.0	900-1100	2.835702967933816
86.9814514000027	20.0	10.0	500-600	0.0
86.9814514000027	20.0	10.0	600-700	0.0
86.9814514000027	20.0	10.0	700-800	0.003756440074075773
86.9814514000027	20.0	10.0	800-900	0.007746876916492662
86.9814514000027	20.0	10.0	900-1100	-0.5889686818092488
96.00799739999638	30.0	10.0	500-600	0.0
96.00799739999638	30.0	10.0	600-700	0.0
96.00799739999638	30.0	10.0	700-800	0.01999430137407346
96.00799739999638	30.0	10.0	800-900	0.11120785290022299
96.00799739999638	30.0	10.0	900-1100	1.3943857039840462
103.77442440000596	40.0	10.0	500-600	0.0
103.77442440000596	40.0	10.0	600-700	0.0
103.77442440000596	40.0	10.0	700-800	0.02804230575851883
103.77442440000596	40.0	10.0	800-900	0.1379559182192741
103.77442440000596	40.0	10.0	900-1100	1.3535886830301296
113.78045330000168	50.0	10.0	500-600	0.0
113.78045330000168	50.0	10.0	600-700	0.0
113.78045330000168	50.0	10.0	700-800	0.01699660077314824
113.78045330000168	50.0	10.0	800-900	0.09173250721196818
113.78045330000168	50.0	10.0	900-1100	0.7301390448846534
121.23257009999361	60.0	10.0	500-600	0.0
121.23257009999361	60.0	10.0	600-700	0.0
121.23257009999361	60.0	10.0	700-800	0.007710587141078877
121.23257009999361	60.0	10.0	800-900	0.031869276246723775
121.23257009999361	60.0	10.0	900-1100	0.218634475276631
129.4537610999978	70.0	10.0	500-600	0.0
129.4537610999978	70.0	10.0	600-700	0.0
129.4537610999978	70.0	10.0	700-800	0.008039278498119255
129.4537610999978	70.0	10.0	800-900	0.046231400919754084
129.4537610999978	70.0	10.0	900-1100	0.6891939866510968
137.8502579000051	80.0	10.0	500-600	0.0
137.8502579000051	80.0	10.0	600-700	0.0
137.8502579000051	80.0	10.0	700-800	-0.003717973127797003
137.8502579000051	80.0	10.0	800-900	-0.016462485339024117
137.8502579000051	80.0	10.0	900-1100	-0.808530069361457
152.0893950000027	0.0	20.0	500-600	0.0
152.0893950000027	0.0	20.0	600-700	0.0
152.0893950000027	0.0	20.0	700-800	0.0034782790826899325
152.0893950000027	0.0	20.0	800-900	0.008863031184556322
152.0893950000027	0.0	20.0	900-1100	-0.3936830626484616
161.95518479999737	10.0	20.0	500-600	0.0
161.95518479999737	10.0	20.0	600-700	0.0
161.95518479999737	10.0	20.0	700-800	0.0077552075469055825
