	x [mm]	y [mm]	Integrated Intensity 400-500 nm [A.U.]	Integrated Intensity 500-600 nm [A.U.]	Integrated Intensity 600-700 nm [A.U.]	Integrated Intensity 700-800 nm [A.U.]	Integrated Intensity 800-900 nm [A.U.]	Integrated Intensity 900-1100 nm [A.U.]
51	60.0	50.0	2.106193333333333	6.193239999999999	8.043173333333334	5.089103333333333	0.13859407894437428	0.4820896891779545
52	70.0	50.0	0.0035693599999999	0.0093854266666666	0.0198162666666666	0.0299125333333333	0.02622911290247665	0.4747442884250636
53	80.0	50.0	0.0008105386666666	0.0021113333333333	0.0057937466666666	0.0092832533333333	-0.001786979476315375	-0.14875737582197013
54	0.0	60.0	0.000564456	0.0012088239999999	0.0026146933333333	0.00471286	0.006388951988117075	0.15049130200836475
55	10.0	60.0	0.0010430973333333	0.0025457466666666	0.0047238533333333	0.0074588066666666	0.01574487195113875	0.3059228687967945
56	20.0	60.0	0.0971029333333333	0.311776	0.4382479999999999	0.3149516666666666	-0.003156692507511	-0.452923303921715
57	30.0	60.0	4.795826666666666	14.391293333333332	20.16293333333333	11.435166666666666	0.3630339073603833	1.2283315373543346
58	40.0	60.0	6.557	19.2292	25.1112	14.856566666666666	1.6125352596161295	3.050839713379309
59	50.0	60.0	5.892106666666666	16.990399999999998	20.897466666666663	12.5368	0.33099547184351635	1.0159279012982503
60	60.0	60.0	1.2695773333333331	2.842226666666666	2.7967066666666662	1.83839	-0.0023889874948234	-0.4945008672849731
61	70.0	60.0	0.0024478266666666	0.0051647066666666	0.0090833066666666	0.0152499666666666	0.022835806609737126	0.468647585956381
62	80.0	60.0	0.0007656213333333	0.0019558133333333	0.0056786399999999	0.0091208533333333	-0.002184495104896125	-0.15601141252625794
63	0.0	70.0	0.0005046106666666	0.0010241506666666	0.00215336	0.0036903966666666	0.027103979282359976	0.6140567596190042
64	10.0	70.0	0.0007003173333333	0.0015374533333333	0.0033765866666666	0.0060092066666666	0.01909686080813915	0.42998173058016215
65	20.0	70.0	0.0038515866666666	0.01014068	0.0176176	0.0286091999999999	0.028752950940992075	0.674330747038225
66	30.0	70.0	0.1438973333333333	0.3328106666666667	0.4486866666666667	0.3962633333333333	0.0242881842773028	0.48304045975554
67	40.0	70.0	1.2506293333333334	3.15748	3.682213333333333	2.2925166666666668	0.015048198714963925	0.01004608716052775
68	50.0	70.0	0.3802613333333333	0.6769853333333333	0.7113506666666667	0.6103976666666667	-0.0066894343838051	-0.3169951855429866
69	60.0	70.0	0.0168049733333333	0.0407970666666666	0.0750248	0.0930626666666666	-0.010556494599649675	-0.3576152390989954
70	70.0	70.0	0.0009379999999999	0.00241324	0.0061092666666666	0.0097998799999999	-0.006445367767263425	-0.3303023131878332
71	80.0	70.0	0.0006489	0.0016245213333333	0.00459796	0.0076705	-0.00545665624030225	-0.19477158182479057
72	0.0	80.0	0.0004185119999999	0.0008497893333333	0.0016429333333333	0.0028730833333333	0.026234408009665824	0.6828119202867977
73	10.0	80.0	0.00064338	0.0014235093333333	0.0030548533333333	0.0046985133333333	0.0192050325809304	0.45915436993736
74	20.0	80.0	0.001054656	0.0023172533333333	0.00617032	0.0103008333333333	0.011659849195416174	0.28031107706816727
75	30.0	80.0	0.001296272	0.0031684533333333	0.0063870933333333	0.0099797533333333	-0.004786697149014975	-0.15669768783128035
76	40.0	80.0	0.00234636	0.0053089866666666	0.0087612266666666	0.0135929	0.020206859105403777	0.4046870733057594
77	50.0	80.0	0.0017095146666666	0.0042286533333333	0.00835556	0.0130475333333333	0.007795813962879125	0.1668073951751973
78	60.0	80.0	0.0010322626666666	0.0025755866666666	0.0061061999999999	0.0097400466666666	-0.001529075204433025	-0.11270954837495108
79	70.0	80.0	0.0006824826666666	0.00171128	0.0047056266666666	0.0075011466666666	0.018448387718999874	0.4517822653746428
80	80.0	80.0	0.0005833733333333	0.0014298026666666	0.0040754799999999	0.0067352266666666	0.002975205688527275	0.05757558404433595
