Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
598.5226627000084	20.0	20.0	600-700	0.005748346666666666
598.5226627000084	20.0	20.0	700-800	0.008257733333333333
628.4131295999978	30.0	20.0	400-500	0.0027543999999999997
628.4131295999978	30.0	20.0	500-600	0.006606586666666666
628.4131295999978	30.0	20.0	600-700	0.011398413333333333
628.4131295999978	30.0	20.0	700-800	0.017088999999999997
657.7959578000009	40.0	20.0	400-500	0.01758448
657.7959578000009	40.0	20.0	500-600	0.04085293333333333
657.7959578000009	40.0	20.0	600-700	0.06997319999999999
657.7959578000009	40.0	20.0	700-800	0.09502173333333333
684.5998144000041	50.0	20.0	400-500	0.004438013333333333
684.5998144000041	50.0	20.0	500-600	0.010140719999999999
684.5998144000041	50.0	20.0	600-700	0.018457199999999997
684.5998144000041	50.0	20.0	700-800	0.03074973333333333
713.6397073000117	60.0	20.0	400-500	0.00083932
713.6397073000117	60.0	20.0	500-600	0.00208768
713.6397073000117	60.0	20.0	600-700	0.0047646799999999994
713.6397073000117	60.0	20.0	700-800	0.009104293333333333
748.0711108000105	70.0	20.0	400-500	0.0005286573333333332
748.0711108000105	70.0	20.0	500-600	0.001287776
748.0711108000105	70.0	20.0	600-700	0.0032726133333333333
748.0711108000105	70.0	20.0	700-800	0.005395009999999999
777.1790395999997	80.0	20.0	400-500	0.00030912266666666664
777.1790395999997	80.0	20.0	500-600	0.0007020733333333333
777.1790395999997	80.0	20.0	600-700	0.0012932533333333334
777.1790395999997	80.0	20.0	700-800	0.0022692633333333337
816.339051700008	0.0	30.0	400-500	0.0005421853333333333
816.339051700008	0.0	30.0	500-600	0.0011828146666666664
816.339051700008	0.0	30.0	600-700	0.0024813866666666667
816.339051700008	0.0	30.0	700-800	0.004377183333333333
842.2679844000086	10.0	30.0	400-500	0.0012060706666666666
842.2679844000086	10.0	30.0	500-600	0.0029804933333333334
842.2679844000086	10.0	30.0	600-700	0.005661653333333333
842.2679844000086	10.0	30.0	700-800	0.00812798
859.6740418000118	20.0	30.0	400-500	0.0252312
859.6740418000118	20.0	30.0	500-600	0.069064
859.6740418000118	20.0	30.0	600-700	0.122416
